TAG;NOM;TROPHIES;LIEN_ROYALE_API;LIEN_JEU
#8RUQYJCY;Land;10860;https://royaleapi.com/player/8RUQYJCY;clashroyale://playerInfo?id=8RUQYJCY
#GJPRRRV9V;iroha;7525;https://royaleapi.com/player/GJPRRRV9V;clashroyale://playerInfo?id=GJPRRRV9V
